,Trafo_id,Date_Time,Active_Energy
903,100528,2019-11-18 13:00:00,938.4
904,100528,2019-11-18 14:00:00,921.0
421,100469,2019-11-18 15:00:00,1653.6
1390,121695,2019-11-18 16:00:00,955.2
2359,121990,2019-11-18 17:00:00,899.5
1392,121695,2019-11-18 18:00:00,821.6
425,100469,2019-11-18 19:00:00,627.6
2362,121990,2019-11-18 20:00:00,603.0
427,100469,2019-11-18 21:00:00,508.8
1396,121695,2019-11-18 22:00:00,805.2
429,100469,2019-11-18 23:00:00,479.4
430,100469,2019-11-19 00:00:00,499.8
431,100469,2019-11-19 01:00:00,494.4
1400,121695,2019-11-19 02:00:00,716.0
2369,121990,2019-11-19 03:00:00,298.5
1885,121970,2019-11-19 04:00:00,367.2
1403,121695,2019-11-19 05:00:00,702.4
436,100469,2019-11-19 06:00:00,730.8
2373,121990,2019-11-19 07:00:00,786.5
922,100528,2019-11-19 08:00:00,818.4
2375,121990,2019-11-19 09:00:00,880.0
1891,121970,2019-11-19 10:00:00,1468.8
2377,121990,2019-11-19 11:00:00,1029.0
926,100528,2019-11-19 12:00:00,607.8
443,100469,2019-11-19 13:00:00,1694.4
444,100469,2019-11-19 14:00:00,1719.6
929,100528,2019-11-19 15:00:00,919.8
930,100528,2019-11-19 16:00:00,972.6
931,100528,2019-11-19 17:00:00,1077.6
448,100469,2019-11-19 18:00:00,890.4
449,100469,2019-11-19 19:00:00,754.2
934,100528,2019-11-19 20:00:00,788.4
1902,121970,2019-11-19 21:00:00,743.2
2388,121990,2019-11-19 22:00:00,464.5
2389,121990,2019-11-19 23:00:00,344.0
2390,121990,2019-11-20 00:00:00,349.0
1906,121970,2019-11-20 01:00:00,691.2
940,100528,2019-11-20 02:00:00,362.4
1425,121695,2019-11-20 03:00:00,767.6
942,100528,2019-11-20 04:00:00,353.4
1910,121970,2019-11-20 05:00:00,697.6
1911,121970,2019-11-20 06:00:00,832.0
461,100469,2019-11-20 07:00:00,1315.2
946,100528,2019-11-20 08:00:00,798.0
463,100469,2019-11-20 09:00:00,1647.0
948,100528,2019-11-20 10:00:00,969.0
1433,121695,2019-11-20 11:00:00,887.6
1917,121970,2019-11-20 12:00:00,1284.8
951,100528,2019-11-20 13:00:00,953.4
1919,121970,2019-11-20 14:00:00,1460.8
1437,121695,2019-11-20 15:00:00,906.4
1921,121970,2019-11-20 16:00:00,1260.0
